Wmi,schema_id
WDP,2250
WDP,2271
WDP,3187
WDP,3198
WDP,3213
WDP,3237
WDP,6003
WDP,6208
WDP,6209
WDP,10937
WDP,20599
WDP,20600
WDP,22592
1F9434,2248
WBA,2249
WBA,2446
WBA,2448
WBA,2461
WBA,2544
WBA,2553
WBA,2564
WBA,2837
WBA,2863
WBA,2891
WBA,2930
WBA,2975
WBA,3102
WBA,3148
WBA,5544
WBA,5611
WBA,5652
WBA,5723
WBA,5756
WBA,5815
WBA,5839
WBA,9943
WBA,9945
WBA,9999
WBA,12134
WBA,12137
WBA,12142
WBA,12146
WBA,12149
WBA,12151
WBA,12156
WBA,12157
WBA,12158
WBA,12159
WBA,12477
WBA,12508
WBA,13558
WBA,13563
WBA,13565
WBA,13569
WBA,17556
WBA,20395
WBA,21244
WBA,22345
WBA,23347
WBA,23981
WBA,24162
WBA,24345
WBA,25154
WBA,26530
WBA,26593
WBA,26595
WBA,27909
WBS,2253
WBS,2446
WBS,2455
WBS,2494
WBS,2565
WBS,2855
WBS,2883
WBS,2916
WBS,2920
WBS,2932
WBS,2986
WBS,3162
WBS,5558
WBS,5675
WBS,5725
WBS,5759
WBS,5828
WBS,5839
WBS,9948
WBS,9953
WBS,10010
WBS,12134
WBS,12156
WBS,12485
WBS,17563
WBS,20396
WBS,21245
WBS,21326
WBS,22346
WBS,23348
WBS,23981
WBS,24161
WBS,25145
WBS,26550
WBS,26594
WBS,26595
WBS,27904
WBX,2446
WBX,2448
WBX,2553
WBX,2837
WBX,2863
WBX,2908
WBX,2930
WBX,2975
WBX,3148
WBX,5815
WBX,10008
WBX,12488
WBX,12509
WBX,17565
WBX,20397
WBX,21247
WBX,22348
WBX,23476
WBX,23981
WBX,24160
WBX,25706
WBX,26595
WBX,27099
WBX,28273
4US,2446
4US,2890
4US,2915
4US,2982
4US,3161
4US,5549
4US,5607
4US,5671
4US,5785
4US,5829
4US,5839
4US,9950
1M9667,2254
5UX,2255
5UX,2446
5UX,2456
5UX,2486
5UX,2487
5UX,2489
5UX,2568
5UX,2861
5UX,2888
5UX,2919
5UX,2978
5UX,3159
5UX,5775
5UX,5831
5UX,5839
5UX,9952
5UX,10011
5UX,12489
5UX,17566
5UX,20398
5UX,21248
5UX,22349
5UX,23475
5UX,23981
5UX,24523
5UX,25150
5UX,26591
5UX,26595
5UX,27906
5YM,2259
5YM,2446
5YM,2458
5YM,2490
5YM,2492
5YM,2493
5YM,2569
5YM,10009
5YM,12491
5YM,17567
5YM,20399
5YM,21249
5YM,22350
5YM,23478
5YM,23981
5YM,24524
5YM,25151
5YM,26589
5YM,26595
5YM,27907
1H9333,2280
1H9333,18367
1H9333,19034
VF9795,2281
VF9795,16924
VF9795,20455
VF9795,21915
VF9795,25561
VF9795,27979
WB1,12096
WB1,12097
WB1,12098
WB1,12101
WB1,12102
WB1,12103
WB1,12106
WB1,12107
WB1,12108
WB1,12109
WB1,12111
WB1,12112
WB1,12113
WB1,12114
WB1,12115
WB1,12116
WB1,12117
WB1,12118
WB1,13918
WB1,13919
WB1,13920
WB1,13923
WB1,13924
WB1,13925
WB1,13926
WB1,13927
WB1,14213
WB1,15160
WB1,16673
WB1,20078
WB1,20703
WB1,21005
WB1,21026
WB1,22334
WB1,22336
WB1,23681
WB1,24435
WB1,24773
WB1,26442
WB1,27837
WB1,28461
WMW,2288
WMW,2336
WMW,2417
WMW,2423
WMW,2452
WMW,2611
WMW,2614
WMW,2618
WMW,2632
WMW,2648
WMW,2664
WMW,5520
WMW,5528
WMW,5787
WMW,5839
WMW,10522
WMW,11703
WMW,20071
WMW,20551
WMW,21942
WMW,21957
WMW,22954
WMW,24216
WMW,25152
WMW,26583
WMW,28349
1A9596,2289
1A9596,5355
1A9596,5358
1A9596,5359
1A9596,10603
1A9596,16836
1A9596,19043
1M9983,2290
4C9240,2291
1FA,2300
1FA,2745
1FA,2935
1FA,2937
1FA,2945
1FA,2946
1FA,3012
1FA,3014
1FA,3021
1FA,3251
1FA,3261
1FA,3397
1FA,3404
1FA,3512
1FA,3518
1FA,3617
1FA,3620
1FA,3651
1FA,3655
1FA,3657
1FA,3662
1FA,3709
1FA,3712
1FA,3714
1FA,3721
1FA,3766
1FA,3805
1FA,3806
1FA,3810
1FA,3813
1FA,5366
1FA,5525
1FA,5543
1FA,5942
1FA,5946
1FA,6007
1FA,6023
1FA,7298
1FA,7317
1FA,7319
1FA,7361
1FA,7374
1FA,7401
1FA,7563
1FA,7574
1FA,7578
1FA,7580
1FA,7581
1FA,7583
1FA,8667
1FA,9453
1FA,9455
1FA,9476
1FA,9481
1FA,9530
1FA,9531
1FA,9564
1FA,9565
1FA,9584
1FA,9606
1FA,9607
1FA,9627
1FA,9628
1FA,10314
1FA,10317
1FA,10318
1FA,10321
1FA,10323
1FA,10814
1FA,10816
1FA,12396
1FA,12399
1FA,12413
1FA,12598
1FA,12600
1FA,12616
1FA,12749
1FA,12753
1FA,12759
1FA,12817
1FA,12820
1FA,12846
1FA,12859
1FA,12869
1FA,12870
1FA,12893
1FA,13931
1FA,13943
1FA,13955
1FA,14007
