Wmi,Make
1A9288,Ikarus USA
1A9289,Axis Corporation
1A9294,"AJAX TRAILERS, INC"
1A9299,ASI TRAILERS
1A9304,"ASTORIA INDUSTRIES, INC."
1A9306,AMERICAN TRAILERS CO
1A9317,ARROWHEAD
1A9318,Puffy Boy
1A9324,Auto Transport Service
1A9326,APS Systems
1A9327,Architectural Welding & Design
1A9329,ATLAS
1A9330,Anvil Products Corporation
1A9332,AG. BELT TRAILER
1A9333,ALUM-A-FAB INC.
1A9334,"Mesco Industries, Inc."
1A9341,Aulick Industries
1A9344,Ark Custom Trailers
1A9347,Red Ewald
1A9359,Accel Trailers Inc.
1A9360,"Aristocrat Industries, Inc."
1A9374,Adams MFG
1A9375,Alloy Custom Vacuum Products Inc
1A9378,American Electronic Sign Co
1A9379,Ace Motorcycle
1A9383,American IronHorse Motorcycles
1A9393,Aeroglas
1A9394,A & W TRAILOR MANUFACTURE
1A9397,"AG Industrial, Inc"
1A9398,AMERITECH CORPORATION
1A9406,APACHE SINCA INDUSTRIES INC
1A9412,AMERICAN WARRIOR MOTORCYCLES
1A9416,AmeriMax
1A9421,Albert Lea
1A9423,AC Customs
1A9427,ASTEC INDUSTRIES INC.
1A9428,A.P.C. Motor Company
1A9432,AJR Inc.
1A9433,ALLEN'S MFG INC.
1A9436,AMERICAN DOZER INC.
1A9438,All South Equipment Co. Inc.
1A9440,"All American Manufacturing, Inc."
1A9442,AMERICAN QUANTUM CYCLES
1A9445,American Augers
1A9446,Aquacraft Inc
1A9448,ASPEN TRAILER INC.
1A9456,"ALTAMONT TECHNOLOGIES, INC"
1A9457,"Ag Spray Equipment,Inc."
1A9458,APOLLO TRAILER COMPANY
1A9460,Allegheny Trailers
1A9461,Arrow Dump Trailers
1A9462,Anderson Repair
1A9463,"ARGO FAB, INC"
1A9469,ALLISON DUMP BODIES & TRAILERS
1A9471,ADIRONDACK KOTTAGES
1A9477,Alumax Trailers
1A9480,Aeroswint Trailers
1A9482,"Al-jon, Inc."
1A9493,American Welding Service
1A9494,American Motorcycle Corporation
1A9503,Alloy Custom Products
1A9505,ABC Enterprises
1A9507,A.A. Trailer
1A9509,"Appleton Steel, Inc."
1A9513,American Steel V-Twin
1A9514,American Trailer Mfg. Co
1A9516,Aapex Trailers Inc
1A9520,"Alkota Cleaning Systems, Inc."
1A9522,American Airport Support & Rescue Systems
1A9524,"ADVANCED MANUFACTURING & POWER SYSTEMS, INC."
1A9525,Advanced Trailer Systems
1A9526,A-1 Truck Repair
1A9527,Arsenal Trailer Manufacturing Inc
1A9528,Allied Machine Inc
1A9529,Almax Holding Limited
1A9530,Almax Holding Limited
1A9531,A & B INDUSTRIES
1A9532,ABI
1A9533,Advanced Directional Drilling Services
1A9536,AAR Welding
1A9539,Autodelta USA Inc
1A9541,Adams Equipment
1A9542,Advanced Metalcraft & Co
1A9543,American Homestar Corporation
1A9545,Avesco Welding & Fabrication
1A9546,Allco Trailer Manufacturing
1A9549,Allen Boat Company
1A9550,Covered Body
1A9551,Advanced Portable Buildings & Trailers
1A9554,A & D Company
1A9555,Action Industrial Studio
1A9558,Andy's Welding
1A9559,Aliso Trailer Mfg. Inc.
1A9561,Advanced Striping Equipment
1A9563,Allstates Production Equipment Company
1A9565,"All Wheel Drive Equipment Mfg., Inc."
1A9566,"Advanced Trailer Service, Inc."
1A9567,Apogee Trailers LLC
1A9568,Aluminator Trailers LLC
1A9569,Apex Custom Trailers
1A9571,"Alpine Industrial, LLC"
1A9572,American Trailer Manufacturing Company
1A9574,American Wash Company
1A9577,Amaron Trailers
1A9582,AMEN CHASSIS WORKS
1A9585,AgriFleet Leasing Corporation
1A9586,AP Trailers LLC
1A9588,"Arlen Ness Enterprises, Inc."
1A9589,ALPINE WELDING & FABRICATION INC
1A9590,AMAZE-N-TOW
1A9592,"Arizona Machine & Fabrication, Inc."
1A9593,AEC Enterprises
1A9596,ACG
1A9597,ALL-IN-ONE Products
1A9600,American Welding & Machine Co
1A9601,Armstrong Trailers
1A9602,American Truck Company
1A9603,"Anything In Iron, Inc."
1A9604,Ameri-Camp
1A9605,All Pro Cycles
1A9606,"Arrowhead Trailer Mfg., Inc."
1A9611,Agvantage Manufacturing Corp.
1A9613,ARGO Trailers
1A9614,Action Trailers
1A9616,A.T.M.
1A9617,ALC Manufacturing
1A9618,Alumituff Manufacturing
1A9619,"ARMSTRONG TRAILER MANUFACTURING CO., INC."
1A9624,Aluminx
1A9629,"AAD Welding, Inc."
1A9638,AMERICAN TRAILER SYSTEMS
1A9640,Adirondack White Pine Cabins
1A9642,"ACTION WELDING & FABRICATION, INC."
1A9646,American Metal Fabrication
1A9648,American Hawg Choppers Inc
1A9650,"Alumina, Inc."
1A9652,Ace Trailers
1A9653,Adventure Trailers
1A9654,"ACCU-TEK TRAILER MANUFACTURING, INC."
1A9657,ATLANTIC TRAILERS
1A9658,Aluminum Cargo Trailers Inc
1A9659,American Farrier Systems LLC
1A9660,"Advanced Trailer Concepts, Inc."
1A9662,Avila Manufacturing
1A9663,ALL IN ONE CUSTOM FABRICATION & DESIGN
1A9664,Arcade Iron Motorcycle Company
1A9665,ATSATV
1A9668,American Manufacturing Operations
1A9669,Advanced Fabrication
1A9670,AEROPUP Trailers LLC
1A9671,Ahoy! Houseboats and Fishhouses
1A9672,"ATTITUDE CUSTOM CYCLES, INC."
1A9673,"ACME CRYOGENICS, INC."
1A9674,ACES CHOPPERWORKS
1A9675,Aero Flite
1A9678,ACCURATE CYCLE ENGINEERING
1A9679,All Seasons Manufacturing
1A9682,American Trailers
1A9683,"ARIZONA WOODRIVER OUTFITTERS, LLC"
1A9684,Aluminex Fabrication
1A9685,Aurora Trailers
1A9686,Advanced Welding and Manufacturing
1A9687,Asphalt Equipment & Service
1A9689,AMP Customs
1A9690,Anesko's Custom Trailers
1A9692,Apollo Choppers
1A9695,Fuel Horse
1A9697,Action Enterprises & Fabrication
1A9698,"Alcan Trailers, LLC"
1A9701,Absolute Performance
1A9702,All American Choppers Co.
1A9707,ACME
1A9708,Apache Golf Cars
1A9710,American Airboat Corporation
1A9711,All American Big Twin
1A9714,All American Trailer Manufacturers
1A9717,Anarchy Motorcycle Company
1A9718,Advance Pump & Equipment
1A9720,Adrian Homes
1A9725,American Sport Trailer
1A9726,Alcom LLC
1A9727,A & A Manufacturing
1A9729,Aluma Tower Company
1A9730,Albright Bikes
1A9731,Alsalor Corp.
1A9733,Automotive Transformation Inc.
1A9734,"AG-Quip, Inc."
1A9736,Advanced Customs & Conversions
1A9737,American Hotrod Motorcycles
1A9739,American Steel Horse Cycles
1A9747,"Aluminum Trailers, Inc."
1A9748,Arkfeld
1A9749,American LaFrance
1A9751,Arizona Trailer Specialists
1A9752,Arsenal of Virginia
1A9753,A & E Trailers
1A9754,"American Eagle Trailers, Inc."
